Adobe After Effects 8.0 Keyframe Data

	Units Per Second	24
	Source Width	640
	Source Height	480
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1
Transform	Position
	Frame	X pixels	Y pixels	Z pixels
	0	0.0	0.0	0
	1	0.0	0.0	0
	2	0.0	0.0	0
	3	117.0	39.0	0
	4	117.0	39.0	0
	5	133.0	91.0	0
	6	116.0	116.0	0
	7	70.0	124.0	0
	8	32.0	72.0	0
	9	43.0	34.0	0
	10	125.0	31.0	0
	11	162.0	61.0	0
	12	177.0	106.0	0
	13	165.0	121.0	0
	14	147.0	120.0	0
	15	156.0	102.0	0
	16	210.0	108.0	0
	17	222.0	125.0	0
	18	198.0	139.0	0
	19	179.0	128.0	0
	20	179.0	111.0	0
	21	209.0	136.0	0
	22	224.0	179.0	0
	23	216.0	184.0	0
	24	209.0	170.0	0
	25	232.0	174.0	0
	26	265.0	214.0	0
	27	265.0	237.0	0
	28	227.0	260.0	0
	29	197.0	256.0	0
	30	201.0	199.0	0
	31	271.0	145.0	0
	32	361.0	123.0	0
	33	395.0	115.0	0
	34	415.0	75.0	0
	35	411.0	41.0	0
	36	355.0	31.0	0
	37	310.0	68.0	0
	38	289.0	109.0	0
	39	311.0	120.0	0
	40	373.0	130.0	0
	41	391.0	144.0	0
	42	383.0	201.0	0
	43	348.0	240.0	0
	44	306.0	251.0	0
	45	310.0	224.0	0
	46	350.0	221.0	0
	47	356.0	252.0	0
	48	321.0	288.0	0
	49	301.0	283.0	0
	50	340.0	248.0	0
	51	368.0	251.0	0
	52	368.0	299.0	0
	53	344.0	314.0	0
	54	346.0	286.0	0
	55	414.0	261.0	0
	56	480.0	267.0	0
	57	486.0	299.0	0
	58	454.0	334.0	0
	59	419.0	345.0	0
	60	417.0	338.0	0
	61	463.0	329.0	0
	62	498.0	342.0	0
	63	502.0	364.0	0
	64	462.0	387.0	0
	65	441.0	387.0	0
	66	455.0	377.0	0
	67	467.0	379.0	0
	68	468.0	395.0	0
	69	455.0	406.0	0
	70	455.0	406.0	0
	71	455.0	406.0	0
	72	455.0	406.0	0
	73	455.0	406.0	0
	74	455.0	406.0	0
	75	455.0	406.0	0

End of Keyframe Data
